article,chunk_number,context,question,answer
الخيمياء والكيمياء في عصر الحضارة الإسلامية,12," أُنتج الزجاج المعشق لأول مرة من قبل المعماريين المسلمين في جنوب غرب آسيا باستعمال الزجاج الملون بدل الحجارة (التحجير). في القرن الثامن وصف العالم الكيميائي جابر بن حيان في كتابه «الدرة المكنونة» ستًا وأربعين طريقة لإنتاج الزجاج الملون، بالإضافة إلى اثني عشرة وصفة أخرى كتبها المراكشي في نسخ لاحقة من الكتاب.[63]
 وصف جابر بن حيان في كتاب «الدرة المكنونة» أول طريقة أو وصفة لإنتاج اللؤلؤ الصناعي، كما وصف طرق تنقية اللآلئ من الشوائب عند تغير لونها من البحر أو من الشحوم المختلفة.[57]
 أما بالنسبة للأحجار الكريمة فقد وصف جابر أول طريقة لصباغة الأحجار الكريمة واللآلئ وتلوينها بلون اصطناعي،[57] كما وصف طريقة إنتاج الزجاج الملون عالي الجودة الذي كان يشذب إلى أحجار كريمة اصطناعية.[64]
 وصفت مرايا القطع المكافئ (مرايا على شكل قطع مكافئ) لأول مرة من قبل ابن سهل في كتابه «عن الأدوات الحارقة» في القرن العاشر الميلادي، كما وصفت لاحقاً من قبل ابن الهيثم في كتابه عن المرايا الحارقة وكتاب المناظر عام 1021.[65]
",من هو العالم الذي وصف أول طريقة لإنتاج اللؤلؤ الصناعي وطرق تنقية اللآلئ من الشوائب؟,العالم الذي وصف أول طريقة لإنتاج اللؤلؤ الصناعي وطرق تنقية اللآلئ من الشوائب هو جابر بن حيان.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,13," وبحلول القرن الحادي عشر بدأت صناعة المرايا من الزجاج النقي في الأندلس.[69]
 اخترع عباس بن فرناس (810-887) زجاج الكوارتز والسيليكا الشفاف عالي النقاوة، وكان أول من أنتج الزجاج من الرمل والصخور مثل الكوارتز المنصهر [الإنجليزية] .[70]
 استخدمت مستحضرات التجميل منذ قديم الأزمان بشكل خاص للتجميل فقط، وغالبًا ما كانت تستخدم فيها المواد السامة. لكن هذا تغير مع المسلمين العاملين في مستحضرات التجميل، الذين شددوا على النظافة بسبب الاحتياجات الدينية، فاختراعوا مختلف المستحضرات الصحية والتجميلية والتي لاتزال تستخدم إلى اليوم.[71]
 في القرن التاسع، اخترع زرياب أول معجون أسنان، الذي شاع في جميع أنحاء الأندلس.[72] لا تُعرف حاليًا مكونات هذا المعجون على وجه الدقة،[73] لكن قيل أنه حقق على حد سواء «الوظيفية والطعم الجيد».[72] وبالنسبة للنساء فقد افتتح صالون للتجميل أو «مدرسة للتجميل» بالقرب من قصر الخليفة القرطبي، حيث كان يتم تدريس النساء «استخدام مزيلات الشعر لإزالة شعر الجسد»، وتُعرض عطورًا ومستحضرات تجميل جديدة،[73] وتُقدم مزيلات روائح تحت الإبط.[74]
 أفرد جابر بن حيان في كتابه «الخواص الكبير» إحدى المقالات لوصف «إزالة الشعر من الجسد».[75]
",من هو العالم الذي اخترع زجاج الكوارتز والسيليكا الشفاف عالي النقاوة؟,العالم عباس بن فرناس هو الذي اخترع زجاج الكوارتز والسيليكا الشفاف عالي النقاوة.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,14,"من. وبدأً من القرن السابع، أنتج الصابون في نابلس بفلسطين، والكوفة والبصرة بالعراق. تاريخيًا ينحدر الصابون المعروف اليوم من الصابون العربي الذي كان معطرًا وملونًا، في حين أن بعض أنواع الصابون كانت سائلة وبعض الأنواع كانت صلبة. كما صُنع صابون خاص للحلاقة. وبيعت القطعة تجاريًا بثلاثة دراهم في عام 981 الميلادي. احتوت مخطوطات الرازي على مختلف وصفات الصابون. واكتشف مؤخرا مخطوطة من القرن الثالث عشر تعطي تفصيل أكبر عن وصفات صناعة الصابون، ومن تلك الوصفات على سبيل المثال: مزج بعض زيت ي",متى بدأ إنتاج الصابون في الحضارة الإسلامية وما هي بعض المواد التي استخدمت في صناعته؟,"بدأ إنتاج الصابون في الحضارة الإسلامية من القرن السابع، وتم إنتاجه في نابلس بفلسطين والكوفة والبصرة بالعراق. بعض المواد التي استخدمت في صناعته تشمل زيت السمسم، البوتاس، القلوي والجير."
الخيمياء والكيمياء في عصر الحضارة الإسلامية,15,"ميائيين وهما جابر بن حيان والكندي صناعة العطور. طور ابن حيان العديد من التقنيات المتقدمة بما فيها التقطير، والتبخير والترشيح، والتي سمحت بتجميع عطور النباتات المتبخرة على شكل ماء أو زيت.[77] أما الكندي فيعتبر المؤسس الحقيقي لصناعة العطور، إذ أجرى بحوث وتجارب مكثفة ودمج مختلف النباتات ومصادر أخرى لإنتاج مجموعة متنوعة من الطيب، وكتب عددًا كبيرًا من «الوصفات» لمجموعة واسعة من العطور ومستحضرات التجميل والمستحضرات الصيدلانية. ذكر أحد الشهود الذين رأوه وهو يعمل في المخبر ما يلي:
 ويمضي الكاتب في الجزء نفسه من الكلام عن تحضيره لأحد العطور المسمى «غالية»، الذي يحتوي على المسك، والعنبر وغيرها من المكونات، ويكشف عن قائمة طويلة من أسماء المواد والأجهزة.
 جُلِب المسك وعطور الأزهار من المنطقة العربية إلى أوروبا في القرنين الحادي عشر والثاني عشر من خلال التجارة مع العالم الإسلامي ومع الصليبيين العائدين لبلادهم. كان تجار العطور على الأغلب هم تجار التوابل والأصبغة. وهناك سجلات لنقابة تاجري التوابل في لندن تعود إلى سنة 1179 م، تبيّن تجارتهم مع المسلمين بالتوابل ومكونات العطور والأصبغة.",من هو المؤسس الحقيقي لصناعة العطور في الحضارة الإسلامية؟,الكندي هو المؤسس الحقيقي لصناعة العطور في الحضارة الإسلامية.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,16,"السوري نجم الدين حسن الرماح في كتابه «الفروسية والمناصب الحربية» من عام 1270، الذي كان أول من وصف عملية التنقية الكاملة لنترات البوتاسيوم، إذ ذكر استعمال كربونات البوتاسيوم (على شكل رماد الخشب) لإزالة أملاح الكالسيوم والمغنسيوم الموجودة على شكل كربونات في نترات البوتاسيوم.[79][80]
 بالإضافة إلى ذلك فقد عُثر على وصفة كاملة لتحضير البارود باستعمال ملح البارود المنقى لأول مرة في مخطوطة عربية تعود للقرن العاشر.[81] وفي مخطوطة أخرى من القرن العاشر أيضاً ورد وصف كامل للبارود وكيفية استعماله في المدافع.[82]
 هنالك اختلاف في الآراء حول أصل البارود، الرأي الأكثر شيوعاً هو أن الصينيين كانوا أول من اخترع البارود، لكن بعض الباحثين يخالفون هذا الرأي إذ يعتقدون أنه من المرجح أن المسلمين هم أول من اخترعوه.[83][84] وعلى فرض أن الصينيون هم أول من عرف البارود، إلا أن المتوفر بين يديهم لم يكن نقياً وبالتالي فإن خواصه الانفجارية كانت ضعيفة، بالإضافة إلى ذلك فإن نسب خلط المواد الأولية للمزيج لم تكن مناسبة للاستعمال في المدافع.
",من هو الشخص الذي وصف عملية التنقية الكاملة لنترات البوتاسيوم لأول مرة؟,"السوري نجم الدين حسن الرماح هو الشخص الذي وصف عملية التنقية الكاملة لنترات البوتاسيوم لأول مرة في كتابه ""الفروسية والمناصب الحربية"" من عام 1270."
الخيمياء والكيمياء في عصر الحضارة الإسلامية,17,"به «الفروسية والمناصب الحربية» أثناء وصف سلاح الطيار حيث ذكر التركيب التالي له: 74% من نترات البوتاسيوم، 8% من الكبريت،
و15% من الكربون، كما وصف تركيب طيار البرق كالتالي: 74% من نترات البوتاسيوم، 10% من الكبريت، و15% من الكربون. ذكر الرماح في كتابه أن تلك الوصفات كانت معروفة لوالده ولجده، لذا فإن تاريخها ربما يعود إلى القرن الثاني عشر على الأقل، في حين أن التركيب المتفجر للبارود لم يعرف من قبل الصينيين والأوروبيين إلا في القرن الرابع عشر.[27][80]
 يعود استعمال العرب لملح بيتر في المعارك والتطبيقات العسكرية إلى القرن العاشر، إذ استعملت المكونات الثلاثة الأساسية في تركيب البارود (ملح النتر والكبريت والكربون) مع إضافة النافثا لتشكيل أنابيب أو أسطوانات من القذائف الحارقة التي أُطلقت من المنجنيقات نحو أسوار المدن المحاصرة،[87][88] كما أن ملح بيتر دخل في وصفات تركيب النار الإغريقية[89] التي استعملها العرب أيضاً في حروبهم.
تذكر بعض المصادر الأخرى أن شاور بن مجير السعدي وزير الخليفة الفاطمي العاضد لدين الله استعمل 20 ألف أنبوب من القذائف الحارقة وعشرة آلاف من القنابل المضيئة في معارك الدولة الفاطمية عام 1168.",ما هو التركيب الذي وصفه الرماح لسلاح الطيار؟,"التركيب الذي وصفه الرماح لسلاح الطيار هو: 74% من نترات البوتاسيوم، 8% من الكبريت، و15% من الكربون."
الخيمياء والكيمياء في عصر الحضارة الإسلامية,18," استُعمل البارود في المعارك من قبل المسلمين في الأندلس وذلك حوالي عام 1118 م،[92] كما استُعمل لاحقاً للدفاع عن إشبيلية عام 1248 م.[93]
استعمل المماليك البارود أيضاً عام 1250 في حربهم ضد الفرنجة بقيادة لويس التاسع في معركة المنصورة،[94] واستخدموا المدافع اليدوية ضد المغول في معركة عين جالوت عام 1260 م. عُرفت أربع تركيبات مختلفة لهذه المدافع في المعركة، إلا أن أفضلها وأكثرها انفجاراً كان تركيبها مشابهًا للتركيب الحالي للبارود المتفجر.[27][95]",متى استُعمل البارود في المعارك من قبل المسلمين في الأندلس؟,استُعمل البارود في المعارك من قبل المسلمين في الأندلس حوالي عام 1118 م. 
تدمير البيئة,1,"تدمير البيئات أو المَواطن أو المساكن الطبيعية هو عملية تخريب البيئة الطبيعية بحيث تصبح غير قادرة على احتواء المخلوقات الحية التي كانت تقطنها في السابق. ومن خلال هذه العملية تنزح أو تموت جميع المخلوقات التي كانت تعيش في الموطن الطبيعيّ بالأصل، مما يُقلل من التنوع الحيوي للمنطقة.[1] غالباً ما يَكون الغرض من التدمير البشري للمواطن الطبيعية هو الحصول على الموارد الطبيعية لإنتاج الصناعات أو توفير المناطق للتمدن، وإخلاء المناطق من العوائق الطبيعية للزراعة هو أيضاً مُسبب أساسي لتدمير المواطن الطبيعية. ومن ضمن المُسببات الأخرى لهذه الظاهرة التنقيب وقطع الأشجار وبقايا الشباك وتوسع المدن. ويُعتبر تدمير المواطن الطبيعية اليوم المُسبب الرئيسيّ والأهم لانقراض الأنواع الحية حول العالم.[2] لكن تدمير المواطن هو أيضاً تغير بيئيّ طبيعي يُمكن أن يُسببه تشظي الموطن أو ظاهرة جيولوجية أو تغير مناخي،[1] أو في حال تدخل البشر يُمكن أن يُسببه استقدام نوع مجتاح إلى البيئة أو استنزاف أغذية النظام البيئيّ أو نشاط بشريّ آخر.
",ما هو الغرض الرئيسي من تدمير البشر للمواطن الطبيعية؟,"الغرض الرئيسي من تدمير البشر للمواطن الطبيعية هو الحصول على الموارد الطبيعية لإنتاج الصناعات أو توفير المناطق للتمدن، وإخلاء المناطق من العوائق الطبيعية للزراعة. "
تدمير البيئة,2," للبيئة، لأنها تحوي أغلبية الأنواع الحية على الأرض وتملك أعلى تنوع حيوي على الكوكب من بين كافة البيئات الطبيعية الأخرى،[3] كما أنها مُفيدة لتحويلها غاز ثاني أكسيد الكربون الضارّ إلى الأكسجين، فضلاً عن احتوائها على مُختلف أصناف الغذاء الهامة للطبيعة.[4] كانت تغطي الغابات في الأصل 30% من مساحة اليابسة على سطح كوكب الأرض،[5] وكان يَقطنها من 40% إلى 70% من كافة المخلوقات الحية على الأرض حسب أفضل التقديرات العلميّة.[3]
 ",ما هي النسبة المئوية للغابات التي كانت تغطي اليابسة على سطح الأرض؟,الغابات كانت تغطي 30% من مساحة اليابسة على سطح الأرض.
تدمير البيئة,3,"تها الأصلية خلال آخر 100 عام،[7][8] وما زال القطع مُستمراً.[9] كما كانت الغابات المَطيرة تُغطي ثلاثة أرباع أراضي جزيرة إندونيسيا الضخمة الأخرى بورنيو، لكن بسبب قطع الأشجار لأغراض مُختلفة فقد تضاءلت غاباتها بُسرعة، حيث سُجل بين عامي 2000 و2005 أن 4% تقريباً من غابات الجزيرة قد قطعت خلال هذه الأعوام الخمسة فقط، ويُقدر أن نسبة الغابات فيها تناقصت من 75% تقريباً إلى 50% فقط بين عامي 1985 و2005، ويُتنبأ بأن تصل نسبة غاباتها إلى أقل من 35% من مساحة الجزيرة الكلية بحلول عام 2020 إذا ما استمر القطع على هذا المُعدل.[10]
 أما في قارة أمريكا الشمالية فقد بقيَ الآن ما يَقل عن شجرة واحدة من بين كل 20 شجرة كانت موجودة بالأصل في أنحاء القارة. وفوق هذا، فحوالي 25% - أي رُبع هذه الأشجار التي تقطع في أمريكا الشمالية - تُبقى على الأرض في مكانها حتى تتعفن وتصبح غير قابلة للاستخدام دون الانتفاع بها في شيء أو نقلها للاستفادة منها.",ما هي النسبة المتوقعة للغابات المتبقية في جزيرة بورنيو بحلول عام 2020 إذا استمر القطع بنفس الوتيرة؟,يتوقع أن تصل نسبة الغابات في جزيرة بورنيو إلى أقل من 35% من مساحة الجزيرة الكلية بحلول عام 2020 إذا استمر القطع على هذا المعدل. 
تدمير البيئة,4," يُشكل اختفاء الغابات المُستمر من حول العالم تهديداً أيضاً للمناخ العالميّ، وذلك لعدة عوامل. إذ أن للغابات المَطيرة دوراً جوهرياً في تكوين السحب، فعند هطول الأمطار على غابة مَطيرة تتكون سحب جديدة، أما عندما تقطع أعداد ومساحات ضخمة من الأشجار فالسحب لا تتكون والأمطار لا تهطل وتصبح الأراضي أجف أكثر وأكثر.[4] أما المُشكلة المناخية الأكبر لهذه الغابات فهي تأثيرها على الاحتباس الحراري.[9] فقطع الأشجار والغابات يُخل بدورة الكربون الطبيعية، حيث أن الأشجار تختزن بشكل طبيعيّ داخلها كميات من عنصر الكربون تمتصها من الجو، وعندما تحرق الشجرة أو تتحلل بعد قطعها تتحرر هذه الكميات منها[8] وتنبعث إلى الجوّ المُحيط بها على شكل غاز ثاني أكسيد الكربون،[4] وهذا فضلاً عن أن الطبقات السفلية من الغابات تختزن داخلها كميات من الكربون تتحرر عند زوال الغابات مما يُطلق ملايين الأطنان من الكربون إلى الجو،[12] ولذا فإن قطع أشجار أكثر مما يُزرع من شأنه أن يَزيد من نسبة الكربون في الجو ويَزيد من تفاقم ظاهرة الاحتباس الحراري.[13]
 ",ما الدور الذي تلعبه الغابات المطيرة في تكوين السحب وكيف يمكن أن يؤثر قطع الأشجار على الأمطار؟,"الغابات المطيرة تلعب دوراً جوهرياً في تكوين السحب، حيث عند هطول الأمطار على غابة مطيرة تتكون سحب جديدة. ولكن عندما تقطع أعداد ومساحات ضخمة من الأشجار، السحب لا تتكون والأمط"
تدمير البيئة,5,"مثل جزيرة إيستر كامل غاباتها التي قطعها السكان ليَجدوا أماكن للزراعة،[14] ومع الوقت جرفت الرياح التربة الخصبة التي كانت تحت أراضي الغابات وأصبحت أرض الجزيرة مُقفرة وغير صالحة للزراعة. كما أن التجارب النووية كان لها هي الأخرى دور هائل في تدمير الحياة على الجزر، خاصة مع القوة التدميرية الهائلة لهذه الأسلحة التي يُمكنها إبادة كافة أشكال الحياة ضمن نطاق معين، وقد دمرت هذه التجارب سابقًا العديد من الجزر وبيئاتها الطبيعية بلغ عددها أكثر من 6 جزر.[14]
 أما في جزر الغالاباغوس فقد شهدت المنطقة دمارًا كبيرًا في البيئة الطبيعية بسبب التلوث الضخم الذي يُسببه توافد السياح المُستمر إلى الجزر، خاصة مع تزايد أعدادهم الكبير عاماً بعد عام (والذي شهد تزايدًا بمقدار أكثر من 15 ضعفًا خلال العقد الأخير)، فبما أن هذه الجزر لا تملك أنظمة صرف صحي مناسبة لنقل النفايات والمخلفات، فهي تقوم بإلقاء كل نفاياتها مباشرة في عرض البحر، وكان لهذا أثره البالغ على البيئة المُحيطة بالجزيرة. واليوم تعاني الشعاب المرجانية المتنوعة المُحيطة بهذه الجزر من الكثير من الملوثات التي أصبحت تهدد وُجودها.",ما هي الأضرار التي تسببها التجارب النووية على الجزر؟,"التجارب النووية تلعب دورا هائلا في تدمير الحياة على الجزر، بفضل القوة التدميرية الهائلة لهذه الأسلحة التي يمكنها إبادة كافة أشكال الحياة ضمن نطاق معين. هذه التجارب قد دمرت سابقا العديد من الجزر وبيئاتها الطبيعية بلغ عددها أكثر من 6 جزر."
تدمير البيئة,6,"ان والاحتباس الحراري،[8] الذين أصبحا يُهددان جدياً وُجود المرجان حول العالم. فيُعتقد مع المُعدل الحالي أن يَختفي نصف مرجان العالم خلال السنوات الـ40 القادمة فقط، إلا في حال اتخذت إجراءات صارمة لإنقاذه من تغير المناخ. ومنذ الآن، يُقدر أن حوالي 20% من مرجان العالم أجمع قد دُمر بالفعل[18] (أو بدقة أكبر ما يَتراوح من 10% إلى 27%). وحسب بعض التقديرات فقد كان يُعتقد أن النسبة سترتفع إلى 40% بحلول عام 2010. وخلال العقد الأول فقط من القرن الواحد والعشرين خسرت ولاية فلوريدا الأمريكية 38% من مرجانها،[19] بينما بيَّنت دراسات واسعة شملت المحيط الهندي وجنوبي المحيط الهادئ أن 30% من مرجان هذه المنطقة قد تضرَّرَ وأن العديد من المُستعمرات المرجانية التي يَبلغ عُمرها أكثر من 1,000 عام قد هلكت.[8]
 بينت دراسة أخرى قامت بمسح واسع لـ704 أنواع من المرجان أن 33% منها تواجه خطر الانقراض، وأن أعداد المرجان حول العالم آخذة بالتناقص بسرعة وربما تواجه الكثير منها خطر الانقراض الحقيقي خلال 30 عاماً فقط. وقد بينت الدراسة أيضاً أن أعداد المرجان انخفضت خلال العقود الأخيرة القليلة من مليار إلى 300 مليون تقريباً فقط، مما يُوضح الخطر التي أصبحت تواجهه هذه المخلوقات الأساسية للأنظمة البيئية البحرية.[20]
",ما هي النسبة المتوقعة لخسارة مرجان العالم خلال الـ40 سنة القادمة إذا لم يتم اتخاذ إجراءات صارمة لإنقاذه؟,يُعتقد مع المُعدل الحالي أن يَختفي نصف مرجان العالم خلال السنوات الـ40 القادمة.
